crash_Id,fecha,route,operator,aircraft_type,all_aboard,passangers_onboard,crew_aboard,deaths_number,passenger_fatalities,crew_fatalities
0,1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1,1,1,1,0
1,1909-09-07,"Juvisy-sur-Orge, France",NaN,Wright Byplane,1,0,1,1,0,0
2,1912-07-12,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5,5,0,5
3,1913-08-06,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,0,1,1,0,1
6,1915-03-05,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,0,41,17,0,17
10,1916-10-01,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19,19,0,19
23,1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
24,1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
25,1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
27,1919-08-02,"Verona, Italy",Caproni Company,Caproni Ca.48,14,12,2,14,12,2
28,1919-10-02,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,0,1,1,0,1
29,1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,0,1,1,0,1
30,1919-10-20,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,0,0,1,0,0,0
31,1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,0,1,1,0,1
32,1919-12-11,"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,1,1,1,1,1,1
33,1920-03-10,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
34,1920-03-30,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
35,1920-04-10,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2,1,1,1,0,1
36,1920-04-11,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2,1,1,1,0,1
37,1920-05-12,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2,1,1,1,1,0
38,1920-06-06,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
39,1920-07-20,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,1,1,1,1,1,1
40,1920-08-16,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,0,1,1,0,1
41,1920-08-16,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
42,1920-09-01,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,0,2,2,0,2
44,1920-09-27,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
45,1920-10-02,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,1,1,2,1,1
46,1920-10-05,"Valencia, Spain",Latecoere Airlines,Breguet 14,2,1,1,2,1,1
47,1920-10-15,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
48,1920-11-07,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
49,1920-12-14,"London, England",Handley Page Transport,Handley Page HP-16,8,6,2,4,2,2
50,1920-12-24,"Barcelona, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1
51,1921-02-03,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
52,1921-02-09,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,0,3,3,0,3
53,1921-02-15,Off Gibraltar,Aeropostale,Breguet 14,2,0,2,2,0,2
54,1921-02-22,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
55,1921-04-06,"Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,2,0,0,2,0,0
56,1921-04-21,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
57,1921-04-29,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1
58,1921-05-17,"Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4De Havilland DH-4",1,0,1,1,0,1
60,1921-08-24,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),49,0,49,43,0,43
61,1921-09-06,"Paris, France",Franco-Roumaine,Potez IX,5,4,1,5,4,1
62,1921-12-05,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,2,0,2,2,0,2
