,new moons,first quarter moon,full moons,third quarter moons
0,1900-01-02,1900-01-08,1900-01-16,1900-01-24
1,1900-01-31,1900-02-07,1900-02-15,1900-02-23
2,1900-03-01,1900-03-07,1900-03-16,1900-03-23
3,1900-03-30,1900-04-06,1900-04-14,1900-04-22
4,1900-04-28,1900-05-06,1900-05-14,1900-05-21
5,1900-05-28,1900-06-04,1900-06-12,1900-06-19
6,1900-06-26,1900-07-04,1900-07-12,1900-07-18
7,1900-07-26,1900-08-03,1900-08-10,1900-08-17
8,1900-08-24,1900-09-02,1900-09-08,1900-09-15
9,1900-09-23,1900-10-01,1900-10-08,1900-10-15
10,1900-10-23,1900-10-31,1900-11-06,1900-11-13
11,1900-11-21,1900-11-29,1900-12-06,1900-12-13
12,1900-12-21,1900-12-28,1901-01-04,1901-01-12
13,1901-01-20,1901-01-27,1901-02-03,1901-02-11
14,1901-02-18,1901-02-25,1901-03-05,1901-03-13
15,1901-03-20,1901-03-26,1901-04-03,1901-04-11
16,1901-04-18,1901-04-25,1901-05-03,1901-05-11
17,1901-05-17,1901-05-24,1901-06-02,1901-06-09
18,1901-06-16,1901-06-23,1901-07-01,1901-07-08
19,1901-07-15,1901-07-23,1901-07-31,1901-08-07
20,1901-08-14,1901-08-21,1901-08-29,1901-09-05
21,1901-09-12,1901-09-20,1901-09-27,1901-10-04
22,1901-10-12,1901-10-20,1901-10-27,1901-11-02
23,1901-11-10,1901-11-19,1901-11-25,1901-12-02
24,1901-12-10,1901-12-18,1901-12-25,1902-01-01
25,1902-01-09,1902-01-16,1902-01-23,1902-01-31
26,1902-02-08,1902-02-15,1902-02-22,1902-03-02
27,1902-03-09,1902-03-16,1902-03-23,1902-03-31
28,1902-04-08,1902-04-14,1902-04-22,1902-04-30
29,1902-05-07,1902-05-14,1902-05-22,1902-05-30
30,1902-06-05,1902-06-12,1902-06-20,1902-06-28
31,1902-07-05,1902-07-12,1902-07-20,1902-07-27
32,1902-08-03,1902-08-10,1902-08-18,1902-08-26
33,1902-09-01,1902-09-09,1902-09-17,1902-09-24
34,1902-10-01,1902-10-09,1902-10-16,1902-10-23
35,1902-10-31,1902-11-08,1902-11-15,1902-11-21
36,1902-11-29,1902-12-07,1902-12-14,1902-12-21
37,1902-12-29,1903-01-06,1903-01-13,1903-01-20
38,1903-01-28,1903-02-05,1903-02-11,1903-02-18
39,1903-02-27,1903-03-06,1903-03-13,1903-03-20
40,1903-03-28,1903-04-04,1903-04-11,1903-04-19
41,1903-04-27,1903-05-03,1903-05-11,1903-05-19
42,1903-05-26,1903-06-02,1903-06-09,1903-06-17
43,1903-06-24,1903-07-01,1903-07-09,1903-07-17
44,1903-07-24,1903-07-30,1903-08-08,1903-08-15
45,1903-08-22,1903-08-29,1903-09-06,1903-09-14
46,1903-09-20,1903-09-28,1903-10-06,1903-10-13
47,1903-10-20,1903-10-28,1903-11-04,1903-11-11
48,1903-11-18,1903-11-26,1903-12-04,1903-12-11
49,1903-12-18,1903-12-26,1904-01-02,1904-01-09
50,1904-01-17,1904-01-25,1904-02-01,1904-02-08
51,1904-02-16,1904-02-24,1904-03-01,1904-03-08
52,1904-03-16,1904-03-24,1904-03-31,1904-04-07
53,1904-04-15,1904-04-22,1904-04-29,1904-05-07
54,1904-05-15,1904-05-22,1904-05-29,1904-06-05
55,1904-06-13,1904-06-20,1904-06-27,1904-07-05
56,1904-07-12,1904-07-19,1904-07-27,1904-08-04
57,1904-08-11,1904-08-17,1904-08-25,1904-09-02
58,1904-09-09,1904-09-16,1904-09-24,1904-10-02
59,1904-10-08,1904-10-15,1904-10-24,1904-10-31
60,1904-11-07,1904-11-14,1904-11-22,1904-11-29
61,1904-12-06,1904-12-14,1904-12-22,1904-12-29
62,1905-01-05,1905-01-13,1905-01-20,1905-01-27
63,1905-02-04,1905-02-12,1905-02-19,1905-02-26
64,1905-03-05,1905-03-14,1905-03-20,1905-03-27
65,1905-04-04,1905-04-12,1905-04-19,1905-04-26
66,1905-05-04,1905-05-11,1905-05-18,1905-05-25
67,1905-06-02,1905-06-10,1905-05-29,1905-06-24
68,1905-06-24,1905-06-24,1905-06-16,1905-06-25
69,1905-07-02,1905-07-05,1905-06-24,1905-07-06
70,1905-07-05,1905-07-09,1905-06-25,1905-07-24
71,1905-07-31,1905-08-07,1905-07-05,1905-08-22
72,1905-08-30,1905-09-05,1905-07-06,1905-09-21
73,1905-09-28,1905-10-05,1905-07-16,1905-10-21
74,1905-10-27,1905-11-03,1905-08-14,1905-11-19
75,1905-11-26,1905-12-03,1905-09-13,1905-12-19
76,1905-12-25,1906-01-02,1905-10-13,1906-01-17
77,1906-01-24,1906-02-01,1905-11-11,1906-02-15
78,1906-02-22,1906-03-03,1905-12-11,1906-03-17
79,1906-03-24,1906-04-01,1906-01-10,1906-04-15
80,1906-04-23,1906-05-01,1906-02-08,1906-05-14
81,1906-05-23,1906-05-30,1906-03-10,1906-06-13
82,1906-06-21,1906-06-29,1906-04-08,1906-07-13
83,1906-07-21,1906-07-28,1906-05-08,1906-08-11
84,1906-08-19,1906-08-26,1906-06-06,1906-09-10
85,1906-09-18,1906-09-24,1906-07-05,1906-10-10
86,1906-10-17,1906-10-24,1906-08-04,1906-11-09
87,1906-11-16,1906-11-22,1906-09-02,1906-12-08
88,1906-12-15,1906-12-22,1906-10-02,1907-01-07
89,1907-01-13,1907-01-21,1906-10-31,1907-02-05
90,1907-02-12,1907-02-19,1906-11-30,1907-03-07
91,1907-03-13,1907-03-21,1906-12-30,1907-04-05
92,1907-04-12,1907-04-20,1907-01-29,1907-05-04
93,1907-05-12,1907-05-20,1907-02-27,1907-06-02
94,1907-06-10,1907-06-18,1907-03-29,1907-07-02
95,1907-07-10,1907-07-18,1907-04-27,1907-07-31
96,1907-08-08,1907-08-16,1907-05-27,1907-08-30
97,1907-09-07,1907-09-14,1907-06-25,1907-09-29
98,1907-10-07,1907-10-14,1907-07-24,1907-10-28
99,1907-11-05,1907-11-12,1907-08-23,1907-11-27
100,1907-12-05,1907-12-11,1907-09-21,1907-12-27
101,1908-01-03,1908-01-10,1907-10-21,1908-01-26
102,1908-02-02,1908-02-08,1907-11-19,1908-02-24
103,1908-03-02,1908-03-09,1907-12-19,1908-03-25
104,1908-03-31,1908-04-08,1908-01-18,1908-04-23
105,1908-04-30,1908-05-08,1908-02-17,1908-05-22
106,1908-05-29,1908-06-06,1908-03-17,1908-06-20
107,1908-06-28,1908-07-06,1908-04-16,1908-07-20
108,1908-07-27,1908-08-05,1908-05-15,1908-08-18
109,1908-08-26,1908-09-03,1908-06-14,1908-09-17
110,1908-09-25,1908-10-02,1908-07-13,1908-10-16
111,1908-10-24,1908-11-01,1908-08-11,1908-11-15
112,1908-11-23,1908-11-30,1908-09-10,1908-12-15
113,1908-12-23,1908-12-29,1908-10-09,1909-01-14
114,1909-01-21,1909-01-28,1908-11-07,1909-02-13
115,1909-02-20,1909-02-26,1908-12-07,1909-03-14
